"LID","WordOrderAPLex","WordOrderAPBasicLex","WordOrderAVBasicLex","PositionVBasicLex","WordOrderAPVBasicLex","PositionVBasicLex.binned.v4","PositionVBasicLex.binned.v1","PositionVBasicLex.binned.v3","PositionVBasicLex.binned.v2","WordOrderPVBasicLex","WordOrderAPSecondaryLex","WordOrderAVSecondaryLex","PositionVSecondaryLex","WordOrderAPVSecondaryLex","PositionVSecondaryLex.binned.v4","PositionVSecondaryLex.binned.v1","PositionVSecondaryLex.binned.v3","PositionVSecondaryLex.binned.v2","WordOrderPVSecondaryLex","VFinalLex","VFinalOrFreeLex","WordOrderAPVLexFlexible","VInitialLex","VMedialLex","WordOrderSVBasicLex","WordOrderSVSecondaryLex"
514,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
663,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
146,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
387,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
666,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
397,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
61,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
423,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
407,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
12,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2031,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2500,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
355,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
72,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
18,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
136,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2862,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
34,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
639,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
418,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
221,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
168,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
440,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2935,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
26,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2980,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
454,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2984,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
348,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
635,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
1692,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
1276,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
108,"OA","OA","dep-head","V=3","OAV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2969,"AO","AO","head-dep","V=1","VAO","non_final","other","initial","other","head-dep",,,,,,,,,,"non_final","other","rigid","initial","other",,
165,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
145,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
494,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
2925,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
205,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
469,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
170,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
618,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
1143,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
182,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
135,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
188,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
385,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
379,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
129,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
481,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
202,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
345,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
631,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2954,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
382,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
65,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
386,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
434,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
406,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2993,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
398,,,"dep-head","V=3","xxV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","flexible","other","other",,
535,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
824,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
441,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
193,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
422,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
443,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
99,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
599,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
456,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2992,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
503,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
364,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
519,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
367,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
194,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
656,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
147,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
123,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
660,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
15,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
662,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
3006,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
664,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
154,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
637,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
360,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2897,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2918,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
104,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2929,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
629,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
526,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2975,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2681,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
63,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
530,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
36,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
650,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
1263,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
159,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
354,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
162,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2924,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
373,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
7,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
178,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
1516,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
169,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
1592,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
49,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
620,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
1439,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2873,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
333,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
626,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
567,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
71,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other",,
1964,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
630,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
674,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
144,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
486,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2863,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
722,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
43,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
1645,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
204,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
1577,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
1691,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
403,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
390,"OA","OA","head-dep","V=2","OVA","non_final","other","other","medial","dep-head",,,,,,,,,,"non_final","other","rigid","other","medial",,
48,"AO","AO","head-dep","V=1","VAO","non_final","other","initial","other","head-dep",,,,,,,,,,"non_final","other","rigid","initial","other",,
659,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
206,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
53,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
558,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
342,"AO","AO","head-dep","V=1","VAO","non_final","other","initial","other","head-dep",,,,,,,,,,"non_final","other","rigid","initial","other",,
1615,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2865,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2871,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
1763,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2514,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
669,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2923,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
527,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
1094,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2927,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
632,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
1775,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
