"LID","AdjAttrAgr.Presence","AdjAttrConstr.Presence","AdjAttrGvt.Presence","AdjAttrMarking.overt.Presence","NPAgr.Presence","NPConstr.Presence","NPGvt.Presence","NPMarking.overt.Presence"
481,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
488,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
491,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
492,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
493,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
494,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
495,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
496,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
497,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
498,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
499,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
500,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
501,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
502,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
503,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
504,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
505,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
511,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
512,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
514,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
515,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
518,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
525,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
526,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
527,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
530,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
532,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
533,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
534,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
535,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
549,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
550,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
553,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
561,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
564,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
566,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
568,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
569,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
571,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
576,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
583,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
585,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
599,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
608,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
609,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
611,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
612,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
613,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
634,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
635,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
642,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
643,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
644,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
645,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
646,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
648,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
649,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
650,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
651,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
654,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
660,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
668,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
669,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
670,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
675,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
676,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
677,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
678,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
679,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
680,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
681,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
682,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
683,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
687,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
701,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
702,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
703,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
704,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
705,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
706,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
707,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
708,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
709,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
710,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
711,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
712,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
715,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
716,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
717,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
725,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
726,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
727,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
734,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
736,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
737,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
738,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
748,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
791,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
798,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
805,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
814,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
824,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
834,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
863,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
872,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
879,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
880,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
895,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
917,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
935,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
942,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
970,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1062,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1067,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1094,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1095,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1118,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1149,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1153,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1181,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1183,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1187,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1207,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1210,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1263,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1288,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1295,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
1310,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1341,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1343,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1351,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1375,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1415,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1416,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1428,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1440,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1480,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1498,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1519,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1528,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
1531,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1542,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1550,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1666,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1695,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1700,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1705,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1725,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1726,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1763,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1807,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1808,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1814,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1816,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1840,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1890,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
1891,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1921,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1926,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1928,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2015,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2016,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2024,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2029,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2033,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2069,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2078,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2153,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2172,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2193,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2220,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
2238,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2239,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2289,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2330,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2340,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2345,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2368,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2372,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2388,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
2389,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2393,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2416,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
2444,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2447,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2453,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2471,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2477,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2484,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2506,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
2511,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2534,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2536,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2572,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2577,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
2625,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
2630,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2631,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
2657,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2660,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2662,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2663,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2689,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2696,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2714,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2716,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2726,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2752,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2761,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2774,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
2797,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2824,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
2826,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
2828,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2832,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2833,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2845,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
2853,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2854,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2855,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2856,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2857,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2858,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2859,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2885,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2946,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2994,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
3000,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
3001,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
3002,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
3003,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
3004,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
3005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
