"LID","VInflAktionsart.Position","VInflApplicative.Position","VInflAspect.Position","VInflCausative.Position","VInflClassifier.Position","VInflConnective.Position","VInflConstruct.Position","VInflControl.Position","VInflDeixis.Position","VInflVoice.Position","VInflFocus.Position","VInflPosterior.Position","VInflGender.Position","VInflIllocution.Position","VInflMA.Position","VInflMN.Position","VInflModality.Position","VInflMood.Position","VInflMotion.Position","VInflMSE.Position","VInflNominalizer.Position","VInflNumber.Position","VInflPerson.Position","VInflPolarity.Position","VInflPotentialis.Position","VInflQuantificational.Position","VInflReflexive_and_Reciprocal.Position","VInflRECIP.Position","VInflReferential.Position","VInflReflexive.Position","VInflRepetition.Position","VInflReversative.Position","VInflSemistem.Position","VInflSpatial.Position","VInflStatus.Position","VInflSwitch_reference.Position","VInflTense_and_Evidential.Position","VInflTA.Position","VInflTAM.Position","VInflTense.Position","VInflTM.Position","VInflValence.Position","VInflVersion.Position"
567,,,,,,,,,,,,,,,,,"post",,,,,"post",,"post",,,,,,,,,,,,,,,,"post",,,
568,"in",,"post",,,,,,,,,,,,,,,"post",,,,"post",,,,"in",,,,,,,,,,,,,,,,,
569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
571,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,"prae",,,,
580,"prae","post",,,,,,,"post","post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,
581,,,,"post",,,,,,"prae",,,,,,"prae",,,,,,,,,,,"post",,,,,,,,,,,,"post","prae",,,
582,,,"post",,,,,,"post",,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,"post",,,
583,,,,,,,,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,"in",,,,,
608,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
612,,,,,,,,,,"post",,,,,,,,"post",,,,,,"post",,"post",,,,,,,,,,,,,,,"post",,
619,"post",,"post",,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,
620,,,,,,,,,,,"post",,,,,,,,,"prae",,,,,,,"post",,,,,,,,,,,"post",,,,,
626,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,"post",,,
628,,,,,,,,,,"post",,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,"post",,"post",
629,,,,,,,,,,,,,,"post",,,,,,,,,,"prae",,,,,,,,,,,,,,,"post",,,,
632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,
633,,,"post","post",,,,,,,,,,"post",,,,"post",,,,,,,,,,,,,,,,,,,,,,"post",,,
635,"post",,,,,,,,,"post",,,,,,,,,,,,,,,,"in",,,,,,,,,,,,,"post",,,,
641,,,"post","post",,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,"post",,,"post",,
642,,,,,,,,,,"prae",,,,,,,,,,,,,,"circum",,,,,,,,,,,,,,"prae",,,,,
642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"in",,,,,
643,,,,,,,,,,,,,,,,,,,,,,,,"simul",,"post",,,,,,,,,,,,"post",,,,,
646,,,"post",,,,,,,,,,,,,,,,,,,"in",,"post",,,,,,,,,,,,,,,,,,,
648,,,"post",,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,
654,"prae",,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,
655,,"prae","prae",,,,,,"prae",,,,,,,,,,,,,,,,,"prae","post",,,,,,,"prae",,,,,"post",,,,
656,,,"in",,,,,,,,,,,,,,,,,,,,,"simul",,,,,,,,,,,"post","post",,,,,,,
656,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,"prae",,,,,,,,,,,,"post",,,,
662,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
663,,,,,,,,,"post","prae",,,,,,,,"prae",,,,,,"prae",,,,,,,,,,,,,,"post",,,,,
663,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,
664,,,,,,,,,,,,,,"prae","post",,,"post",,,,,,"prae",,,,,,,,,,,,,,,,,"post",,
667,,,"post",,,,,,,,,,,,,,,"post",,,"post",,,"prae",,,,,,,,,,,,,,,,"post",,,
668,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,"prae/post",,,
669,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,"post",,,,
674,,,"post",,,,,,,,,,,,,,,"post",,,,,,"post/prae (simul)",,,,,,,,,,,,,,,,"post",,,
675,,,,"prae",,,,,"prae",,,,,"post",,,"prae",,,,,,,"prae",,,,"prae",,"prae",,,,,,,,,,"post",,,"prae"
677,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,
678,,,"prae/post",,,,,,,,,,,,,,,"prae/post",,,,,,"prae/post",,,,,,,,,,,,,"prae/post",,"prae/post",,,,
679,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
680,,,,"post",,,,,,"post",,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,"post",,
681,,,,"post",,,,,,"post",,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,"post",,
683,,,,,,,,,,,,,,,,,,"prae/post",,,,,,,,,"prae/post",,,,,,,,,,,,"prae/post",,,,
685,,,"post","prae",,,,,,,,,,,,,,,"post",,,,,,,"prae","prae",,,,,,"prae","post",,,,,,,,,
685,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,
686,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,"post",,,,,
687,"post",,"post","post",,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,
688,"in/post",,,,,,,,,"post",,,,"prae",,,"post",,"simul (post)",,,"in",,,,"prae",,,,"prae",,,,,,,,,,,,,
688,,,,,,,,,,,,,,,,,,,,,,,,,,"in",,,,,,,,,,,,,,,,,
689,,,,,,,,,,"post",,,,,,,"post",,"post",,,,,,,"in/post",,,,,,,,,"post",,,"post","post",,,,
690,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,"post",,,,,,,,,,,,,,,
691,,,,,,,,,,,,,,"post",,,,,,,,,,"prae",,,,,,,,,,,,,,,,"post",,,
692,,,"post",,,,,,"post",,"post",,,,,,,,,,,"prae",,,,,,,,,,,,,,,,,"prae",,,,
692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
693,,,"post",,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,
699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae/post",,,,,
700,,,,"post",,,,,,"post",,,,,,,,"post",,,,,,"prae",,,,,,,,,,,,,,,"post",,,,
701,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
703,,,,,,,,,,"post",,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,
709,"post",,,"post",,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,"post",,,,
710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post (in)",,,
722,,,"post",,,,,,,,,,,,"prae",,,,,,,,,"prae",,,,,,,,,,,,,,"post",,,,,
723,,,,,,,,,,,,,,"post","in",,,,,,,,,"prae",,,,,,,,,,,,,,,"post",,,,
723,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,,,,,,,,,,,,,,,,,"post",,,,,,,"prae",,,,,,,,,,,,,,,"post",,,,
725,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae (post)",,,,,,,,,,,,"post",,,,
730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
735,,,"post",,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,"post",,,
767,,,"post",,,,,,,,,,,,,,,"post",,,,,,"post",,,,,,,,,,,,,,,,,,,
780,,"post",,"post",,,,,,,,,,,,,"post",,,,,,,"post",,"prae",,"post",,"post",,,,,,,,,,"post",,,
786,,,,,,,,,,"post",,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,"post",,"post",
790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,
838,,,,,,,,,,,,,,"post","in",,,,,,,,,"prae",,,,,,,,,,,,,,,"post",,,,
838,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,
885,,"post",,"prae",,,,,"post",,,,,,,"post",,,,,,,,"post",,"post",,,,,,,,,,,,"post",,,,,
885,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,"prae",,,,,,,,,,
942,,,,,,,,,,,,,,"post",,,,,,,,,,"post",,"in",,,,,,,,,,,,,"post",,,,
975,"post","post",,,,"post",,,,,,,,,,,,,,,,"in",,,,,,,,"circum",,,,,,,,"post",,"prae",,"prae",
975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,
1004,,,,,,,,,,"post",,,,,,,,"post",,,,,,"prae",,,,,,,,,,,,,,,,"post",,"post",
1067,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,"post",,,
1108,"prae","prae","prae",,,,,,"post",,,,,,,,,,,,,"prae",,,,"prae",,,,,,,,,,,,,"prae",,,,
1108,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,
1140,,"prae","post",,,,,,,"post",,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,"post",,,
1203,,,"post",,,,,,,,,,,,,,,,,,,"post",,,,"prae",,,,,,,,,"post",,,"post",,,,,
1317,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,"post",,,
1363,,,,,,,,,,,,,,,,,,,,,,"prae",,,,"prae",,,,,,,,,,,,,"post","post",,,
1363,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,
1364,,,"post",,,,,,"post",,,,,"post",,,,,,,,,,,,"in",,,,,,,,,,,,,"post",,,,
1376,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,"in/post",,,
1385,"post",,,,,,,,"post",,,,,,,,,,,,,,,,,"post","post",,,,,,,,,,"post",,,,,,
1388,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,"post",,"post",
1395,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,
1399,,,,"post",,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,,,,,,"post (in)",,,,
1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post (in)",,,
1480,,,,"post",,,,,,"post",,,,,,,,,,,,,,"post",,,,,,,,,,,,,,"post",,,,,
1531,,,,,,"post",,,,"post",,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,"post",,,,
1542,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,"post",,,,
1623,"post",,,,,,,"post",,"post",,,,,,,,,,,,,,,,"in",,,,,,,,,,,,,,"post",,,
1694,"prae",,"prae",,,,,,,,,,,"prae",,,,,,,,,,"prae",,,,,,,,,,,,,,"in/prae",,,,,
1765,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,,,,,,,,,,
1772,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,"post",,"post",,
1775,,,"post",,,,,,,,,,,,,,,"post",,,,,,"prae",,,,,,,,,,,,,,,,"post",,,
1778,,,,,,,,,,,,,,,,,,"post",,,,,,"prae",,,,,,,,,,,,,,,,"post",,,
1807,,,,"post",,,,,,,,,,,,,,"post",,,,,,,,"in",,,,,,,,,,,,,"post",,,,
1816,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,"prae",,,,,,"in",,,,
1840,,,"post",,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,"post",,
1889,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,,,,
1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,
1914,,,,,,,,,"prae",,"in",,,,"post",,,,,,,,,"post",,,,,,,,,,,,,,,,,,,
1954,,,"post",,,,,,,,,,,,"post",,,,,,"post",,,"prae",,,,,,,,,,,,"prae/post",,"post",,,,,
1964,,,"post","post",,,,,,,,,,"post",,,,"post",,,,,,"post",,,,,,,,,,,,,,,,,,,
2015,,,"post",,,,,,,"post",,,,,,,,,,,,,,"post",,"post",,,,,,,,,,,,,,,,,
2020,,,"prae/post","prae",,,,,,,,,,,,,,"post",,,,,,"post",,,"prae",,,,,,,,,,,,,,,,
2024,,,"prae/post",,,,,,,,,,,,,,,"prae",,,,,,"prae",,,,,,,,,,,,,"post",,"prae/post",,,,
2050,"prae",,,,,,,,,"prae",,,,,,,,,,,,"post",,"prae",,,,,,,,,,"post",,,,,,,,,
2081,,,,"post",,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,"post",,,,
2172,,,"in","post",,,,,,"post",,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
2180,,,,"prae",,,,,,,,,,"post",,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,
2186,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,"post",,,
2196,,,,,,,,,,,,,,"post",,,,,,,,,,"prae",,,,,,,,,,,,,,,"post",,,,
2217,,,"post",,,,,,"prae",,,,,,"prae/in/post",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330,,,"prae/post",,,,,,,"post",,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,,"post",,
2360,,,,,,"post",,,,,,,,,,,,,,,,,,"prae/circum",,,,,,,,,,,,,,"post",,,,,
2388,,,"in",,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,"prae",,,,,,"post",,,,
2393,,,"circum (post)","post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,
2412,,,,"prae",,,,,"prae","prae",,,,"prae",,,,"prae",,,,,,"prae",,,,,,,,,,,,"post",,,,,,,
2447,,,"prae/post",,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,,"post",,
2456,,,,"in",,"post",,,,,"post",,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,"post",,,
2471,,,"prae/post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,
2508,,,"post",,,,,,,,,,,,,,,"post",,,,,,"post",,,,,,,,,,,,,,,,"post",,,
2513,"post","post",,"post",,"post",,,,"post",,,,,,,"post","post",,,,,,"circum",,,,"post",,,,,,,,,,,,,,,
2514,,,"post","prae/post",,"post",,,,,,,,"post",,,,"prae",,,,,,"post",,,,"in",,"prae",,,,,,,,,,"post",,,
2564,,"post","prae","post",,,,"post",,"post",,,,,,,,"post",,,,"post",,,,,"post",,,,,,,,,,,,,,,,
2564,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,,,,"post",,,,,,,,,,,,,,"post",,,,,,,,"in",,,,,,,,,,,,,"post",,,,
2577,,,"in","post",,,,,,,,,,,,,,,,,,,,"in",,,,,,,,,"prae",,,,,,,,,,
2617,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,"post","post",,,
2657,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,"post",,,,
2662,,,,,,,,,,"post","post",,,,,,,,,,,,,"post",,"post","post",,,,,,,,,,,,"post",,,,
2672,"post",,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,"post",,,"post",,,,,
2716,,,"prae/post",,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,"post",,,
2824,,,"post",,,,,,,,,,,,"in",,,"post",,,,,,"prae/post",,,,,,,,,,,,,,,,,,,
2826,,,"in",,,,,,"prae","post",,,,,,,,,,,,,,"prae",,,,,,,,,"prae",,,,,,"post",,,,
2828,,,"post",,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,"prae",,,,,,,,,,
2831,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,"prae/in/post",,,,,
2831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,
2831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,
2832,,,,"in",,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,"post",,,
2833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"in/post",,,
2854,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,"post (in)",,,
2855,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,"post (in)",,,
2856,,,,,,,,,,,,,,,,,,"post",,,,,,"prae/post",,,,,,"post",,,,,,,,,,"in/post",,,
2862,,,"post",,,,,,,"post",,,,,,,,"post",,,,,,"post",,,,,,,,,,,,,,,"post",,,,
2871,,,,,,,,,"post",,,,,,,,,,,,,,,"prae/post",,,,,,,,,,,,,,,,,,,
2873,,,"post",,,,,,,,,,,,,,,"post",,,,,,"circum",,,,,,,,,,,,,,,,"post",,,
2893,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,
2900,,,,"post",,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,"post",,,,
2916,,,,"post",,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,"post","post",,
2936,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,
2944,,,"post",,,,,,,,,,,,,,,"post",,,,,,"post",,,,,,,,,,,,,,,,,,,
2949,,,"in",,,,,,"prae","post",,,,,,,,,,,,"post",,"prae",,,,,,,,,"prae",,,,,,"post",,,,
2951,,,,,,,,,"prae","prae",,,,,,,,,,,,"post",,"post",,,,,,"prae",,,,,,,,"post",,,,"prae",
2984,,,"post",,,,,,,,,,,"post",,,,"post",,,,,,"post",,,,,,,,,,,"post",,,,"post","post",,,
2987,,,"in",,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,"post",,,
3006,,,"post","post",,,,,,"post",,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,
3015,,,,,,,,,,,,,,"post",,,,,,,,,,"post",,"prae",,,,,,,,,,,,,,"post",,,
3032,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,"post",,,,
3101,,,,,,,,,,"in/post",,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,"prae","in/post",,,,
3143,,"post",,"post",,,,,"post",,,,,,,,,,,,,,,,,,,"post",,"post",,,,"post","post",,,,,,,,
3173,,,,"post",,,,,,"post","post",,,,"post",,,,,,,,,"prae",,,,,,,,,,,,,,,,,,,
3213,,,,,,"in/post",,,,,,,,"prae",,,,,,,,,,"prae",,,,,,,,,,,,,,,"post",,,,
3229,,,"prae/post",,,,,,,,,,,,,,,"prae/post",,,,,,"prae/post",,,,,,,,,,,,,"prae/post",,"prae/post",,,,
3239,,,"post","post",,,,,"prae",,,,,,,,,,,,,"post",,,,,,,,,,,,,"prae",,,,,"post",,,"prae"
3240,,"post",,"prae",,,,,,,,,,,,,,,,,,,,"post",,"post",,,"post",,,"post",,,"prae",,,,,"post",,,
3240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,
3243,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,"post",,,
3243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,
3272,,,"post",,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,,,,
3278,,,,,,,,,,,,,,,"prae",,,"prae",,,,,,"prae",,,,,,,,,,,,,,,,,,,
3298,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,,,,
3301,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,,,,
3311,,,"prae",,,,,,"prae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,
3312,,,,,,,,,,,,,,,"prae",,,,,,,,,"prae",,,,,,,,,,,,,,,,"post",,,
3313,,,,,,,,,"prae",,,,,,,,,"prae",,,,,,"prae",,,,,,,,,,,,,,,,,,,
3315,,,,,,,,,,"prae",,,,,,,,"prae",,,,,,"prae/circum",,,,,,,,,,,,,,,,,,,
3318,,,"post",,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,
3326,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,"prae",,,,,,,,,"prae",,,,,
3331,,,"prae",,,,,,,,,,,,,,,"prae",,,,,,"prae",,,,,,,,,,,,,,"prae",,,"prae",,
