"LID","VInflAktionsart.Post.Presence","VInflApplicative.Post.Presence","VInflAspect.Post.Presence","VInflCausative.Post.Presence","VInflClassifier.Post.Presence","VInflConnective.Post.Presence","VInflConstruct.Post.Presence","VInflControl.Post.Presence","VInflDeixis.Post.Presence","VInflVoice.Post.Presence","VInflFocus.Post.Presence","VInflPosterior.Post.Presence","VInflGender.Post.Presence","VInflIllocution.Post.Presence","VInflMA.Post.Presence","VInflMN.Post.Presence","VInflModality.Post.Presence","VInflMood.Post.Presence","VInflMotion.Post.Presence","VInflMSE.Post.Presence","VInflNominalizer.Post.Presence","VInflNumber.Post.Presence","VInflPerson.Post.Presence","VInflPolarity.Post.Presence","VInflPotentialis.Post.Presence","VInflQuantificational.Post.Presence","VInflReflexive_and_Reciprocal.Post.Presence","VInflRECIP.Post.Presence","VInflReferential.Post.Presence","VInflReflexive.Post.Presence","VInflRepetition.Post.Presence","VInflReversative.Post.Presence","VInflSemistem.Post.Presence","VInflSpatial.Post.Presence","VInflStatus.Post.Presence","VInflSwitch_reference.Post.Presence","VInflTense_and_Evidential.Post.Presence","VInflTA.Post.Presence","VInflTAM.Post.Presence","VInflTense.Post.Presence","VInflTM.Post.Presence","VInflValence.Post.Presence","VInflVersion.Post.Presence"
419,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
420,,,TRUE,,,,,,FALSE,FALSE,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,
421,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,,,,
423,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,FALSE,,,FALSE,,TRUE,,,,,,FALSE,,,,TRUE,,,,
426,,FALSE,TRUE,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,
428,,,FALSE,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
429,TRUE,FALSE,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,FALSE,,FALSE,,,,,,,,,,,TRUE,,
433,,,,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,TRUE,,,,TRUE,
435,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
458,TRUE,,,,,,,,FALSE,,,,,FALSE,,,,FALSE,,,,TRUE,,FALSE,,,,,,,,,,,,,,,TRUE,,,FALSE,
460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
461,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,FALSE,,TRUE,,,,,,,,,,,,FALSE,,,,,
461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
464,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
469,TRUE,,TRUE,,,,,,,,,,,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,
481,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,FALSE
491,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
495,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,TRUE,
498,,,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,TRUE,,FALSE,,,FALSE,,,,FALSE,,,,,,,,,FALSE,,,
498,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
511,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
514,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,
515,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,FALSE,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
526,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,
527,,,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,
528,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,TRUE,,,,
530,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,,,
533,TRUE,,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,
540,,,TRUE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,
545,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,TRUE,,,,,,FALSE,,,,,,,,
549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,
551,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
558,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,TRUE,,,,
567,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,
568,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
571,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,
580,FALSE,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,
581,,,,TRUE,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,FALSE,,,
582,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,
608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
612,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,TRUE,,
619,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
620,,,,,,,,,,,TRUE,,,,,,,,,FALSE,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,
632,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
633,,,TRUE,TRUE,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
635,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
641,,,TRUE,TRUE,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,
642,,,,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,
643,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,TRUE,,,,,,,,,,,,TRUE,,,,,
646,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
648,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
654,FALSE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
655,,FALSE,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,TRUE,,,,,,,FALSE,,,,,TRUE,,,,
658,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,TRUE,,,,
668,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,TRUE,,,
669,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,,,,FALSE,,,,,FALSE,,,,,TRUE,,,FALSE,,,,,,,FALSE,,,,FALSE,,FALSE,,,,,,,,,,TRUE,,,FALSE
677,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,
678,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,TRUE,,,,
679,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
680,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,
681,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,
683,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,
685,,,TRUE,FALSE,,,,,,,,,,,,,,,TRUE,,,,,,,FALSE,FALSE,,,,,,FALSE,TRUE,,,,,,,,,
685,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,
686,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,
687,TRUE,,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
692,,,TRUE,,,,,,TRUE,,TRUE,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,,,
692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
693,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
700,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
725,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,TRUE,,,,
780,,TRUE,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,FALSE,,TRUE,,TRUE,,,,,,,,,,TRUE,,,
790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
885,,TRUE,,FALSE,,,,,TRUE,,,,,,,TRUE,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,,,,,
885,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,FALSE,,,,,,,,,,
942,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,
1067,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
1108,FALSE,FALSE,FALSE,,,,,,TRUE,,,,,,,,,,,,,FALSE,,,,FALSE,,,,,,,,,,,,,FALSE,,,,
1108,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
1140,,FALSE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,
1363,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,,,,,,,,,,,,TRUE,TRUE,,,
1363,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
1364,,,TRUE,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
1385,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,
1531,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,
1542,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,
1623,TRUE,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
1772,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,TRUE,,
1807,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
1816,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,FALSE,,,,,,,,,,
1840,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,
1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,
1954,,,TRUE,,,,,,,,,,,,TRUE,,,,,,TRUE,,,FALSE,,,,,,,,,,,,TRUE,,TRUE,,,,,
2024,,,TRUE,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,TRUE,,TRUE,,,,
2050,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,TRUE,,FALSE,,,,,,,,,,TRUE,,,,,,,,,
2172,,,,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
2330,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,
2360,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,
2388,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,FALSE,,,,,,TRUE,,,,
2393,,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,
2412,,,,FALSE,,,,,FALSE,FALSE,,,,FALSE,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,TRUE,,,,,,,
2447,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,
2456,,,,,,TRUE,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
2471,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,
2508,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,
2513,TRUE,TRUE,,TRUE,,TRUE,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,FALSE,,,,TRUE,,,,,,,,,,,,,,,
2514,,,TRUE,TRUE,,TRUE,,,,,,,,TRUE,,,,FALSE,,,,,,TRUE,,,,,,FALSE,,,,,,,,,,TRUE,,,
2564,,TRUE,FALSE,TRUE,,,,TRUE,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,
2564,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
2577,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,
2672,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,
2828,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,FALSE,,,,,,,,,,
2831,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
2831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,
2832,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
2833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
2854,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
2855,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
2856,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,
2900,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
2949,,,FALSE,,,,,,FALSE,,,,FALSE,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,FALSE,,,,,,TRUE,,TRUE,,
2951,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,TRUE,,TRUE,,,,,,FALSE,,,,,,,,TRUE,,,,FALSE,
2984,,,TRUE,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,TRUE,,,,TRUE,TRUE,,,
3101,,,,,,,,,,TRUE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,TRUE,,,,
3143,,TRUE,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,TRUE,TRUE,,,,,,,,
3229,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,TRUE,,,,
3240,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,,,TRUE,,,
3240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
3243,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,TRUE,,,
