LID,Glottocode,Language,AccDegreeForAgreement,AccDegreeForCase,AccDegreeForMarkerAgreement,ErgDegreeForAgreement,ErgDegreeForCase,ErgDegreeForMarkerAgreement,AccDegreeBinnedForAgreement,AccDegreeBinnedForCase,AccDegreeBinnedForMarkerAgreement,ErgDegreeBinnedForAgreement,ErgDegreeBinnedForCase,ErgDegreeBinnedForMarkerAgreement,DominantAlignment2ForAgreement,DominantAlignment2ForCase,DominantAlignment2ForMarkerAgreement,DominantAlignment3ForAgreement,DominantAlignment3ForCase,DominantAlignment3ForMarkerAgreement,DominantAlignmentPTGForAgreement,DominantAlignmentPTGForCase,DominantAlignmentPTGForMarkerAgreement,HasReferenceConditionedSplitsForAgreement,HasReferenceConditionedSplitsForCase,HasReferenceConditionedSplitsForMarkerAgreement,HasCategoryConditionedSplitsForAgreement,HasCategoryConditionedSplitsForCase,HasCategoryConditionedSplitsForMarkerAgreement,HasClauseRankConditionedSplitsForAgreement,HasClauseRankConditionedSplitsForCase,HasClauseRankConditionedSplitsForMarkerAgreement,HasPolarityConditionedSplitsForAgreement,HasPolarityConditionedSplitsForCase,HasPolarityConditionedSplitsForMarkerAgreement
1094,bash1264,Bashkir,1,0.6666666666666666,1,0,0,0,high,medium,high,low,low,low,S=Atr≠P,S=Atr≠P,S=Atr≠P,,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1095,buri1258,Buriat,1,0.6666666666666666,1,0,0,0,high,medium,high,low,low,low,S=Atr≠P,S=Atr≠P,S=Atr≠P,,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1099,bali1278,Balinese,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1103,biri1256,Biri,,0.5,,,0.5,,,medium,,,medium,,,mixed,,,mixed,,,P=T≠G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1105,chor1273,Chortí,0,0,0.3333333333333333,0,0,0.4444444444444444,low,low,low,low,low,medium,S=Atr=P,S=Atr=P,mixed,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1108,cadd1256,Caddo,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1116,cavi1250,Cavineña,,0,,,1,,,low,,,high,,,S=P≠Atr,,,S=P=T=G≠Atr=Aditr,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1128,coma1246,Chinantec (Comaltepec),1,0,,0,0,,high,low,,low,low,,S=Atr≠P,S=Atr=P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr=P=T=G,,P=T=G,P=T=G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1129,nort3189,Zhuang (Northern),,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1130,chep1245,Chepang,,0.6666666666666666,,,1,,,medium,,,high,,,S≠Atr≠P,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1134,cher1273,Cherokee,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1136,taba1266,Chontal Maya,0,0,0.20833333333333334,0,0,0.20833333333333334,low,low,low,low,low,low,S=Atr=P,S=Atr=P,S=Atr=P,,S=Atr=Aditr=P=T=G,,,P=T=G,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1142,chey1247,Cheyenne,0,0,,0,0,,low,low,,low,low,,S=Atr=P,S=Atr=P,,,,,,,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1143,chic1270,Chickasaw,,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1144,tiri1258,Tinrin,1,1,,0,0,,high,high,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,,P=T=G,P=T≠G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1146,west2650,Cham (Western),,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1155,cakc1235,Cakchiquel,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1163,lowl1260,Chontal (Huamelultec Oaxaca),,0.7142857142857143,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr=T≠P=G,,,P=G≠T,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1168,coca1259,Cocama,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1169,kore1283,Koreguaje,1,0.6666666666666666,,0,0,,high,medium,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1172,copt1239,Coptic,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1176,chip1261,Chipewyan,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1177,lonw1238,Lonwolwol,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1183,corn1251,Cornish,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1234,idaa1241,Begak-Ida'an,,0.6666666666666666,,,0,,,medium,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1255,cree1270,Creek (Seminole),,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1257,sout2986,Mutsun,,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1261,kumi1248,Tiipay (Jamul),,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1262,jaru1254,Djaru,,0,,,1,,,low,,,high,,,S=P≠Atr,,,S=P=T≠Atr=Aditr≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1263,dido1241,Tsez,0,0,,1,0.5714285714285714,,low,low,,high,medium,,S=P≠Atr,S=P≠Atr,,S=P=T≠Atr=Aditr=G,S=P=T≠Atr=Aditr≠G,,P=T≠G,P=T≠G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1264,kami1255,Northern Dong,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1272,dege1246,Degema,1,0,,0,0,,high,low,,low,low,,S=Atr≠P,S=Atr=P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr=P=T≠G,,P=T=G,P=T≠G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1276,desa1247,Desano,1,0.6666666666666666,,0,0,,high,medium,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T=G,,P=T=G,P=T=G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1293,sout2789,Dagaare,,0.16666666666666666,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1302,gamo1243,Gamo,1,1,,0,0,,high,high,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,,P=T=G,P=T≠G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1323,dime1235,Dime,1,1,,0,0,,high,high,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,,P=T=G,P=T≠G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1333,djin1253,Djinang,,1,,,0.3333333333333333,,,high,,,low,,,S=Atr≠P,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1343,oira1263,Oirat,,0.6666666666666666,,,0,,,medium,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T≠G,,,P=T≠G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1348,kenu1243,Nubian (Kunuz),0,1,0.75,0,0,0,low,high,high,low,low,low,S=Atr=P,S=Atr≠P,S=Atr≠P,S=Atr=Aditr=P=G≠T,S=Atr=Aditr≠P=T=G,,P=G≠T,P=T=G,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1364,ngar1235,Bilinara,0,,1,0,,0,low,,high,low,,low,S=Atr=P,,S=Atr≠P,,,,,,,FALSE,,TRUE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE
1388,darm1243,Darmiya,1,0,,0,1,,high,low,,low,high,,S=Atr≠P,S=P≠Atr,,S=Atr=Aditr≠P=T=G,S=P=T=G≠Atr=Aditr,,P=T=G,P=T=G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1413,suri1267,Chai,0,0,0.7,0,0,0,low,low,high,low,low,low,S=Atr=P,S=Atr=P,S=Atr≠P,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1414,suri1267,Tirmaga,0,0,0.5416666666666666,0,0,0,low,low,medium,low,low,low,S=Atr=P,S=Atr=P,S=Atr≠P,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1416,daur1238,Dagur,1,0.6666666666666666,1,0,0,0,high,medium,high,low,low,low,S=Atr≠P,S=Atr≠P,S=Atr≠P,,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1439,dumi1241,Dumi,0,0,0.30975056689342406,0,1,0.27709750566893426,low,low,low,low,high,low,S=Atr=P,S=P≠Atr,S=Atr=P,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1467,tuva1244,Tuvaluan,0,,,0,,,low,,,low,,,S,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
1468,emai1241,Ora (Nigeria),,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1473,enge1239,Engenni,,0.5,,,0,,,medium,,,low,,,mixed,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1477,esee1248,Ese Ejja,,0,,,0.5,,,low,,,medium,,,mixed,,,,,,,,,FALSE,,,TRUE,,,FALSE,,,FALSE,
1487,palo1243,Palor,,0.5714285714285714,,,0,,,medium,,,low,,,S=Atr≠P,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1492,fonn1241,Fongbe,,0.42857142857142855,,,0,,,medium,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1508,maas1239,Fulfulde (Maasina),,0.25,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1511,nige1253,Fula (Nigerian),,0.5,,,0,,,medium,,,low,,,mixed,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1518,gads1258,Gadsup,0,0,1,0,0,0,low,low,high,low,low,low,S=Atr=P,S=Atr=P,S=Atr≠P,S=Atr=Aditr=P=G≠T,S=Atr=Aditr=P=T=G,,P=G≠T,P=T=G,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1523,gale1259,Galela,1,0.5,,0,0,,high,medium,,low,low,,S=Atr≠P,mixed,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1528,gude1246,Gude,,0.8333333333333334,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T≠G,,,P=T≠G,,,TRUE,,,TRUE,,,FALSE,,,FALSE,
1531,ghod1238,Godoberi,0,0,,1,0.42857142857142855,,low,low,,high,medium,,S=P≠Atr,S=Atr=P,,,,,,,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1536,gura1252,Gurr-goni,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1538,kenu1236,Nubian (Hill),1,1,,0,0,,high,high,,low,low,,S=Atr≠P,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1542,hinu1240,Hinuq,,0,,,0.42857142857142855,,,low,,,medium,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1556,godi1239,Godié,,0.5714285714285714,,,0,,,medium,,,low,,,S=Atr≠P,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1569,east2555,Eastern Bolivian Guaraní,0,,1,0,,0.5789473684210527,low,,high,low,,medium,S=Atr=P,,S=Atr≠P,,,,,,,FALSE,,TRUE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE
1573,fare1241,Gurenne,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1577,guan1269,Guanano,1,0.6666666666666666,,0,0,,high,medium,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T=G,,P=T=G,P=T=G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1578,goli1247,Golin,1,0,1,0,0,0,high,low,high,low,low,low,S=Atr≠P,S=Atr=P,S=Atr≠P,S=Atr=Aditr≠P=T=G,S=Atr=Aditr=P=T=G,,P=T=G,P=T=G,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1592,nort2938,Haida (Northern),,0.42857142857142855,,,0,,,medium,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1597,hait1244,Haitian Creole,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1600,huic1243,Huichol,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1606,hida1246,Hidatsa,,0,,,1,,,low,,,high,,,S=P≠Atr,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1621,hupa1239,Hupa,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1628,hawa1245,Hawaiian,,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1644,ilok1237,Ilocano,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1645,anam1248,Anamuxra,0,0.6666666666666666,0.875,0,0,0,low,medium,high,low,low,low,S=Atr=P,S=Atr≠P,S=Atr≠P,S=Atr=Aditr=P=G≠T,S=Atr=Aditr=T≠P=G,,P=G≠T,P=G≠T,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1650,iqui1243,Iquito,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1660,itza1241,Itzaj,0,0,0.40476190476190477,0,0,0.40476190476190477,low,low,medium,low,low,medium,S=Atr=P,S=Atr=P,mixed,,S=Atr=Aditr=P=T=G,,,P=T=G,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1671,java1254,Javanese,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1682,jeha1242,Jahai,1,0,,0,0,,high,low,,low,low,,S=Atr≠P,S=Atr=P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr=P=T≠G,,P=T=G,P=T≠G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1691,juan1238,Juang,0,0.6666666666666666,,0,0,,low,medium,,low,low,,S=Atr=P,S=Atr≠P,,,,,,,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1692,hupd1244,Hup,,0.5,,,0,,,medium,,,low,,,mixed,,,mixed,,,mixed,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1693,juru1256,Jurúna,0,,,0,,,low,,,low,,,Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
1702,kase1253,Kasem,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1703,kawa1283,Kawaiisu,,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1704,kama1373,Kamayurá,0,,0.9473684210526315,0,,0.5526315789473685,low,,high,low,,medium,S=Atr=P,,S=Atr≠P,,,,,,,FALSE,,TRUE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE
1709,kama1370,Kamano-Kafe,0,0,,0,0,,low,low,,low,low,,S=Atr=P,S=Atr=P,,S=Atr=Aditr=P=G≠T,S=Atr=Aditr=P=T=G,,P=G≠T,P=T=G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1739,kusu1250,Kusunda,1,0.6666666666666666,1,0,0,1,high,medium,high,low,low,high,S=Atr≠P,S=Atr≠P,S≠Atr≠P,S=Atr=Aditr≠P=T=G,S=Atr=Aditr=T≠P=G,,P=T=G,P=G≠T,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1740,kaiw1246,Kaiwá,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
1743,abun1252,Abun,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1750,khar1287,Kharia,1,0.75,1,0,0,0,high,high,high,low,low,low,S=Atr≠P,S=Atr≠P,S=Atr≠P,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T=G,,P=T=G,P=T=G,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1751,khva1239,Khwarshi,0,0,,1,1,,low,low,,high,high,,S=P≠Atr,S=P≠Atr,,S=P=T≠Atr=Aditr=G,S=P=T≠Atr=Aditr≠G,,P=T≠G,P=T≠G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1763,khak1248,Khakas,1,0.6666666666666666,1,0,0,0,high,medium,high,low,low,low,S=Atr≠P,S=Atr≠P,S=Atr≠P,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,,P=T=G,P=T≠G,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1772,gugu1255,Guugu Yimidhirr,,0.5,,,0.5,,,medium,,,medium,,,mixed,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1775,kulu1253,Kulung,0,0,0.14217687074829932,0,1,0.09442176870748299,low,low,low,low,high,low,S=Atr=P,S=P≠Atr,S=Atr=P,,S=P=T=G≠Atr=Aditr,,,P=T=G,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1778,khal1275,Khaling,,0,,,1,,,low,,,high,,,S=P≠Atr,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1784,kwom1262,Kwoma,,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1806,kora1294,Korafe,1,0,,0,0,,high,low,,low,low,,S=Atr≠P,S=Atr=P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr=P=T≠G,,P=T=G,P=T≠G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1810,koit1244,Koita,0,0,,0,0,,low,low,,low,low,,S=Atr=P,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1816,kryt1240,Kryz,0,0,,1,0.5,,low,low,,high,medium,,S=P≠Atr,mixed,,,,,,,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1826,kalk1246,Kalkatungu,,0,,,1,,,low,,,high,,,S=P≠Atr,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1827,kari1311,Karitiâna,0,0,,1,0,,low,low,,high,low,,S=P≠Atr,S=Atr=P,,S=P=T≠Atr=Aditr=G,S=Atr=Aditr=P=T≠G,,P=T≠G,P=T≠G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1833,bord1248,Kuna,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1835,kuma1280,Kuman,1,0,,0,0,,high,low,,low,low,,S=Atr≠P,S=Atr=P,,,,,,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1887,lill1248,Lillooet,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1896,lele1276,Lele,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1902,lake1258,Miwok (Lake),,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1914,lush1249,Mizo (Lushai),,0,,,1,,,low,,,high,,,S=P≠Atr,,,S=P=T=G≠Atr=Aditr,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1940,mala1522,Damana,,0,,,1,,,low,,,high,,,S=P≠Atr,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1944,mari1435,Maring,,0.7,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1947,mats1244,Matsés,,0,,,0.875,,,low,,,high,,,S=P≠Atr,,,S=P=T=G≠Atr=Aditr,,,P=T=G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1949,maqu1238,Carib (De'kwana),,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1952,coat1238,Mixe (Coatlán),,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
1954,meny1245,Menya,0,0.3333333333333333,0.8333333333333334,0,0,0,low,low,high,low,low,low,S=Atr=P,S=Atr=P,S=Atr≠P,S=Atr=Aditr=P=G≠T,S=Atr=Aditr=P=T=G,,P=G≠T,P=T=G,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1961,sout2785,Mbodomo,1,0,,0,0,,high,low,,low,low,,S=Atr≠P,S=Atr=P,,,,,,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1964,male1284,Maale,,0.6666666666666666,,,0,,,medium,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T≠G,,,P=T≠G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
1973,meno1252,Menomini,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
1988,madi1260,Ma'di,1,0,,0,0,,high,low,,low,low,,S=Atr≠P,S=Atr=P,,,,,,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
1989,madu1247,Madurese,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
