LID,Glottocode,Language,MarkerHasPostposedExponentForTAMPlus,MarkerHasPostposedExponentForOperators,MarkerHasPostposedExponentForValence,MarkerHasPostposedExponentForInterClausal,MarkerHasPostposedExponentForOther,MarkerHasPostposedExponentForPragmatic,MarkerHasPostposedExponentForNumber,MarkerHasPostposedExponentForEvidential,MarkerHasPostposedExponentForNPRelated,MarkerHasPostposedExponentForClassification,MarkerHasPostposedExponentForEventSpecs,MarkerHasPostposedExponentForRole
35,belh1239,Belhare,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,,,
107,hung1274,Hungarian,TRUE,,TRUE,,,TRUE,,,,,,
74,stan1293,English,TRUE,,,,,,,,,,,
404,warl1254,Warlpiri,,,,,,,,,,,,
77,fiji1243,Fijian (Boumaa),,,,,,,,,,,,
374,thai1261,Thai,,,,,,,,,,,,
171,mand1415,Mandarin,TRUE,,,,,,,,,,,
114,ingu1240,Ingush,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,,,
443,koyr1240,Songhai (Koyra Chiini),,,,,,,,,,,,
421,yoru1245,Yoruba,FALSE,FALSE,,,,,,,,,,
456,west2369,Persian,TRUE,FALSE,TRUE,,,,,,,,,
12,ainu1240,Ainu,,,,,,,,,,,,
454,rama1270,Rama,,,,,,,,,,,,
340,russ1263,Russian,TRUE,FALSE,TRUE,,,,,,,,,
86,nucl1302,Georgian,TRUE,,TRUE,,,,TRUE,,,,,
226,sgaw1245,Karen (Sgaw),,,,,,,,,,,,
458,adyg1241,Adyghe (West Circassian),TRUE,FALSE,FALSE,,,FALSE,TRUE,,,,,
460,popt1235,Jacaltec,TRUE,,,,,,,,,,,
56,chuk1273,Chukchi,TRUE,,,,,,,,,,,
154,haka1240,Hakka Lai,TRUE,TRUE,TRUE,,,,,TRUE,,,,
104,hual1241,Quechua (Huallaga),TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,
461,onei1249,Oneida,TRUE,FALSE,FALSE,,,,TRUE,,,,,
159,lang1324,Lango,,,,,,,,,,,,
464,mode1248,Greek (modern),TRUE,,TRUE,,,,,,,,,
78,finn1318,Finnish,TRUE,,TRUE,,,,,,,,,
87,stan1295,German,TRUE,,,,,,,,,,,
99,hind1269,Hindi,,,,,,,,,,,,
118,nucl1643,Japanese,,,,,,,,,,,,
465,mari1440,Maricopa,,,,,,,,,,,,
48,cham1312,Chamorro,,,,,,,,,,,,
348,sanu1240,Sanuma,,,,,,,,,,,,
354,nort2942,Slave,,,,,,,,,,,,
399,wara1303,Warao,TRUE,TRUE,TRUE,,,,TRUE,,,,,
571,cent2194,Tamazight (Ayt Ndhir),FALSE,FALSE,,,,,,,,,,
581,zulu1248,Zulu,TRUE,,TRUE,,,,,,,,,
188,halh1238,Mongolian (Khalkha),TRUE,,TRUE,,,,,,,,,
512,apur1254,Apurina,,,,,,,,,,,,
128,kaya1319,Kayardild,,,,,,,,,,,,
502,nucl1301,Turkish,,,,,,,,,,,,
149,goon1238,Kuniyanti,,,,,,,,,,,,
112,imon1245,Imonda,,,,,,,,,,,,
515,bagi1246,Bagirmi,TRUE,TRUE,,,,,,,,,,
378,tiwi1244,Tiwi,FALSE,,,,,,,,,,,
179,mart1255,Martuthunira,TRUE,,,,,,TRUE,,,,,
497,supy1237,Supyire,,,,,,,,,,,,
501,mani1292,Meithei,TRUE,TRUE,,,,,,,,,,
576,wari1268,Wari,,,,,,,,,,,,
463,nucl1310,Burmese,TRUE,FALSE,,,,,,,,,,
569,stan1288,Spanish,TRUE,,,,,,,,,,,
79,stan1290,French (colloquial),TRUE,FALSE,,,,,,,,,,
498,mezq1235,Otomi (Mezquital),FALSE,FALSE,FALSE,,,TRUE,TRUE,,,,FALSE,
411,wasc1239,Wishram,TRUE,,TRUE,,,FALSE,TRUE,,,,,
324,east2652,Oromo,,,,,,,,,,,,
526,epen1239,Epena Pedee,TRUE,TRUE,,,,TRUE,TRUE,,,,,
356,sout2985,Miwok (Southern Sierra),TRUE,,TRUE,,,,,,,,,
527,even1259,Evenki,TRUE,,TRUE,,,,TRUE,,,,,
205,nene1249,Nenets (Tundra),TRUE,,TRUE,,,TRUE,,,,,,
7,abkh1244,Abkhaz,TRUE,,FALSE,,FALSE,FALSE,TRUE,,,,TRUE,
433,gily1242,Nivkh,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,
193,east2379,Mparntwe Arrernte,TRUE,TRUE,TRUE,TRUE,,,,,,,TRUE,
25,nucl1235,Armenian (Eastern),TRUE,FALSE,TRUE,,,,,,,,,
221,diga1241,Mishmi,TRUE,TRUE,,,,,TRUE,TRUE,,,,
528,garo1247,Garo,TRUE,TRUE,,,,,TRUE,,,,,
145,darg1241,Dargi (Kubachi),TRUE,,TRUE,,FALSE,FALSE,,TRUE,,,,TRUE
355,soma1255,Somali,,,,,,,,,,,,
420,yima1243,Yimas,TRUE,,FALSE,,,FALSE,TRUE,,,,,
481,svan1243,Svan,TRUE,,TRUE,,,FALSE,TRUE,,,,,
406,wash1253,Washo,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,
325,osse1243,Ossetic,TRUE,FALSE,TRUE,,,,,,,,,
152,kwak1269,Kwakwala,TRUE,,,,,,,,,,,
668,yecu1235,Totonac (Misantla),TRUE,,,,,,,,,,,
206,nepa1254,Nepali,TRUE,TRUE,TRUE,,,TRUE,,,,,,
225,lahu1253,Lahu,TRUE,FALSE,TRUE,,,TRUE,,,,,,
722,nort2722,Qiang (Northern),TRUE,FALSE,,,,,,,,,,
629,chan1310,Chantyal,TRUE,FALSE,,,,,,,,,,
663,drun1238,Drung,TRUE,FALSE,FALSE,,,TRUE,,TRUE,,,,
725,ital1282,Italian,TRUE,,FALSE,,,,,,,,,
81,furr1244,Fur,TRUE,FALSE,,,,,,,,,,
17,tosk1239,Albanian,TRUE,,,,,,,,,,,
690,mana1288,Manange,,FALSE,TRUE,,,,,,,,,
664,west2420,Kham,TRUE,FALSE,,,,,,,,,,
674,limb1266,Limbu,TRUE,TRUE,,,,,,,,,,
723,kham1282,Tibetan (Dege),TRUE,FALSE,,,,,,,,,,
626,kinn1249,Kinnauri,TRUE,TRUE,,,,,,,,,,
685,klam1254,Klamath,TRUE,,FALSE,,FALSE,,TRUE,,,,TRUE,
223,sout2729,Pumi,TRUE,TRUE,,,,TRUE,,,,,,
468,east2773,Newar (Dolakha),TRUE,FALSE,TRUE,,,,,,,,,
434,west2414,Gurung,TRUE,FALSE,,,,,,,,,,
169,mait1250,Maithili,TRUE,,,,,TRUE,,,,,,
632,wayu1241,Hayu,TRUE,,,,,,,,,,,
724,east2347,Tamang (Eastern),TRUE,FALSE,,,,,,,,,,
2826,darg1241,Dargi (standard),TRUE,FALSE,TRUE,,FALSE,FALSE,,TRUE,,,,TRUE
677,swed1254,Swedish,TRUE,,TRUE,,,,,,,,,
580,yidi1250,Yidiny,TRUE,,TRUE,,,TRUE,,,,,,
2779,yele1255,Yelî Dnye,,,,,,,,,,,,
196,murr1258,Murrinh-patha,TRUE,,TRUE,,,,TRUE,,,,,
69,nubi1251,Nubian (Dongolese),TRUE,TRUE,,,,,TRUE,,,,,
387,tuvi1240,Tuva,TRUE,TRUE,TRUE,,,,,,,,,
385,shos1248,Tümpisa Shoshone,TRUE,TRUE,,,,TRUE,TRUE,,,,,
2944,rabh1238,Rabha,TRUE,TRUE,,,,,,,,,,
177,marg1265,Margi,FALSE,TRUE,,,,,,,,,,
1531,ghod1238,Godoberi,TRUE,TRUE,TRUE,TRUE,,,,,,,,
2949,darg1241,Dargi (Icari),TRUE,FALSE,TRUE,,FALSE,FALSE,TRUE,TRUE,,,,TRUE
208,nezp1238,Nez Perce,TRUE,,FALSE,,,,TRUE,,,,,
192,movi1243,Movima,TRUE,,TRUE,,,,TRUE,,,,,
392,urar1246,Urarina,TRUE,,TRUE,,,,TRUE,,,,,
551,leal1235,Chinantec (Lealao),FALSE,,,,,,,,,,TRUE,
50,chic1272,Chichimec,,,,,,,,,,,,
3101,assy1241,Neo-Aramaic (Barwar),TRUE,FALSE,TRUE,,,,,,,,,
2393,selk1253,Selkup,TRUE,,TRUE,,,,,,,,,
2564,thom1243,Thompson,TRUE,,TRUE,,,,TRUE,,,,,TRUE
678,bulg1262,Bulgarian,TRUE,TRUE,,,,,,,,,,
2330,poli1260,Polish,TRUE,FALSE,TRUE,,,,,,,,,
2447,slov1268,Slovene,TRUE,FALSE,,,,,,,,,,
675,kaba1278,Circassian (East),TRUE,FALSE,FALSE,,,FALSE,,TRUE,,,,
3229,NA,Torlak Serbian,TRUE,TRUE,,,,,,,,,,
1890,lith1251,Lithuanian,TRUE,,,,,,,,,,,
549,latv1249,Latvian,TRUE,FALSE,TRUE,,,,,,,,,
683,roma1327,Romanian,TRUE,,TRUE,,,,,,,,,
2471,croa1245,Serbian-Croatian,TRUE,,,,,,,,,,,
2412,seri1257,Seri,FALSE,FALSE,FALSE,TRUE,,FALSE,,TRUE,,,,
2984,mian1256,Mian,TRUE,TRUE,,,,,,,,,,
656,koro1312,Korowai,TRUE,FALSE,,TRUE,,,,,,,,
84,gara1269,Garrwa,TRUE,,TRUE,,,,TRUE,,,,,
419,yess1239,Yessan-Mayo,TRUE,,,,,TRUE,FALSE,,,,,
1364,ngar1235,Bilinara,TRUE,,,,,TRUE,,,,,,
885,yane1238,Amuesha,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,
658,yany1243,Yanyuwa,TRUE,,FALSE,,,,,,,,,
66,dhuw1249,Djapu,TRUE,,TRUE,,,,FALSE,,,,,
1772,gugu1255,Guugu Yimidhirr,TRUE,,TRUE,,,,,,,,,
1363,nang1259,Ngan'gityemerri,TRUE,,,,,,TRUE,,,,,
3240,ashe1272,Ashéninka Perené,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,
352,shua1257,Shuar,TRUE,TRUE,TRUE,TRUE,,,,,,,,
2050,moco1246,Mocoví,FALSE,FALSE,FALSE,,,,TRUE,,,,TRUE,
426,yura1255,Yurakare,TRUE,,TRUE,,,,TRUE,TRUE,,,TRUE,
1385,sout2991,Quechua (Cochabamba),TRUE,,TRUE,,,TRUE,TRUE,,,,,
326,paez1247,Paez,TRUE,TRUE,,,,FALSE,,,,,,
2508,suab1238,Inanwatan,TRUE,TRUE,,,,,,,,,,
2951,kara1500,Karajá,TRUE,TRUE,FALSE,,,FALSE,TRUE,,,,,
2900,aves1237,Avestan,TRUE,,TRUE,,,,,,,,,
2726,wels1247,Welsh,,,,,,,,,,,,
2456,sinh1246,Sinhala,TRUE,,,TRUE,,TRUE,,,,,,
1067,bret1244,Breton,TRUE,,,,,,,,,,,
2832,goth1244,Gothic,TRUE,,,,,,,,,,,
2856,oldn1244,Old Norse,TRUE,TRUE,TRUE,,,,,,,,,
2514,tapi1253,Tapiete,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,
110,icel1247,Icelandic,TRUE,,,,,,,,,,,
633,kash1277,Kashmiri,TRUE,,TRUE,,,,,,,,,
3243,nort2646,Pashto (Northern),TRUE,FALSE,,,,,,,,,,
100,hitt1242,Hittite,TRUE,,,,,,,,,,,
2831,anci1242,Greek (Ancient),TRUE,,,,,,,,,,,
2833,olde1238,English (Old),TRUE,,,,,,,,,,,
641,oriy1255,Oriya,TRUE,TRUE,TRUE,,,,,,,,,
844,afri1274,Afrikaans,FALSE,,,,,,,,,,,
2854,oldh1241,High German (Old),TRUE,,,,,,,,,,,
2855,olds1250,Old Saxon,TRUE,,,,,,,,,,,
699,sans1269,Sanskrit,TRUE,,,,,,,,,,,
2360,caml1239,Camling,TRUE,FALSE,,TRUE,,,,,,,,
672,jing1260,Jingpho,TRUE,FALSE,,,,,,,,,,
3278,tsho1240,Tshobdun,FALSE,FALSE,,,,,,,,,,FALSE
1694,japh1234,Jiarong,FALSE,FALSE,,,,TRUE,,,,,,
552,lepc1244,Lepcha,TRUE,FALSE,,,,,,,,,,
691,tibe1272,Tibetan (Lhasa),TRUE,FALSE,,,,TRUE,,,,,,
2617,tsha1245,Tshangla,TRUE,FALSE,,,,,,,,,,
975,bard1255,Bardi,TRUE,,TRUE,TRUE,,,,,,,,
3312,west2368,Balochi (Western),TRUE,FALSE,,,,,,,,,,
2716,uppe1395,Sorbian (Upper),TRUE,FALSE,,,,,,,,,,
2916,wakh1245,Wakhi,TRUE,FALSE,TRUE,,,,,,,,,
2893,lati1261,Latin,TRUE,,,,,,,,,,,
1395,vlax1238,Romani (Vlax),TRUE,,,,,,,,,,,
3213,oldi1245,Irish (Old),TRUE,FALSE,,TRUE,,,,,,,,
1440,dutc1256,Dutch,TRUE,,,,,,,,,,,
710,faro1244,Faroese,TRUE,,,,,,,,,,,
1399,dara1250,Darai,TRUE,,TRUE,,,,,TRUE,,,,
2987,jams1239,Dogon (Jamsay),TRUE,TRUE,,,,,,,,,,
3239,atin1240,Laz (Pazar),TRUE,,TRUE,,,FALSE,TRUE,,,,,
1964,male1284,Maale,TRUE,TRUE,TRUE,,,,,TRUE,,,,
1203,cupe1243,Cupeño,TRUE,,,,,,TRUE,TRUE,,,,
689,lowl1265,Rarámuri,TRUE,,TRUE,,,,TRUE,TRUE,,,TRUE,
3313,tang1334,Tangut,FALSE,FALSE,,,,FALSE,,,,,,
2020,karb1241,Mikir,TRUE,TRUE,FALSE,,,,,,FALSE,,,
2180,rong1266,Rongmei Naga,TRUE,TRUE,FALSE,,,,,,,,,
3315,anuu1241,Hkongso,FALSE,FALSE,FALSE,,,,,,,,,
688,cora1260,Cora,TRUE,,TRUE,,,,FALSE,,,,TRUE,
368,tawa1275,Tawala,FALSE,,,,,TRUE,,,TRUE,,,
68,djin1251,Djingili,TRUE,,FALSE,,FALSE,TRUE,,,,,,
2196,narp1239,Nar-Phu,TRUE,FALSE,,,,,,,,,,
2871,nort2732,Northern Tujia,,TRUE,,,,TRUE,,,,,,
1765,pwoe1235,Karen (Pwo),FALSE,,,,,,,,,,,
1889,lisu1250,Lisu,,FALSE,,,,,,,,,,
2873,bant1281,Bantawa,TRUE,FALSE,,,,,,,,,,
3032,aton1241,Atong,TRUE,TRUE,,,,,,,,,,
1004,gahr1239,Bunan,TRUE,FALSE,TRUE,,,,,TRUE,,,,
1130,chep1245,Chepang,TRUE,,,,,,,,,,,
3326,situ1238,Jiǎomùzú,FALSE,,,,,FALSE,,,,,,
2217,nung1282,Anong,TRUE,,,,,FALSE,,,,,,FALSE
767,galo1242,Gallong,TRUE,TRUE,,,,,,TRUE,,,,
2563,than1259,Thangmi,,,,,,,,,,,,
3298,mong1332,Mongsen Khari,TRUE,FALSE,,,,,,,,,,
1317,dhim1246,Dhimal,TRUE,FALSE,,,,,,,,,,
3318,kurt1248,Kurtokha,TRUE,TRUE,,,,,,TRUE,,,,
735,raji1240,Raji,TRUE,TRUE,,,,,,,,,,
2186,tang1336,Naga (Tangkhul),TRUE,TRUE,,,,,,,,,,
1376,tase1235,Jugli,TRUE,TRUE,,,,,,,,,,
2662,yaku1245,Yakut,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,
18,aleu1260,Aleut,TRUE,,TRUE,,,TRUE,TRUE,TRUE,,,,
2657,udih1248,Udihe,TRUE,,TRUE,,,,,,,,,
730,thak1245,Thakali,TRUE,,,,,,,,,,,
1480,esto1258,Estonian,TRUE,TRUE,TRUE,,,,,TRUE,,,,
3301,yong1270,Yongning Na,,FALSE,,,,,,,,,,
1388,darm1243,Darmiya,TRUE,FALSE,TRUE,,,,,,,,,
709,kild1236,Saami (Kildin),TRUE,FALSE,TRUE,,,,,,,,,
3006,shek1245,Sheko,TRUE,,TRUE,,,TRUE,,,,,,
3173,sida1246,Sidaama,TRUE,FALSE,TRUE,,,TRUE,,,,,,
2936,phal1254,Palula,TRUE,,,,,,,,,,,
701,sout2674,Saami (South),TRUE,,TRUE,,,,,,,,,
703,pite1240,Saami (Pite),,TRUE,TRUE,,,,,,,,,
628,byan1241,Byangsi,TRUE,TRUE,TRUE,,,,,TRUE,,,,
838,amdo1237,Amdo,TRUE,FALSE,,,,,,,,,,
1775,kulu1253,Kulung,TRUE,FALSE,,,,,,,,,,
1778,khal1275,Khaling,TRUE,FALSE,,,,,,,,,,
3272,zaiw1241,Zaiwa,TRUE,FALSE,,,,,,,,,,
786,rong1264,Rongpo,TRUE,FALSE,TRUE,,,,,,,,,
1914,lush1249,Mizo (Lushai),TRUE,TRUE,,,,FALSE,,,,,,
2824,clas1254,Tibetan (Classical),TRUE,TRUE,,,,,,,,,,
667,thul1246,Thulung (Mukli),TRUE,FALSE,,,,,,,TRUE,,,
3331,guan1266,Khroskyabs,FALSE,FALSE,,,,FALSE,,,,,,
2862,chhi1245,Chintang,TRUE,TRUE,TRUE,,,,,,,,,
